no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
96,udp64b,encap,0,1,546938.4131,0,16177159,16408140,0,0,2167739306,1050120960,0,0,0,0,0,0,230981,30.01395321,,,,,,,
97,udp64b,encap,0,1,542975.0913,0,16211490,16289255,0,0,2172339660,1042512320,0,0,0,0,0,0,77765,30.02730894,,,,,,,
98,udp64b,encap,0,1,542975.0913,0,16110967,16289255,0,0,2158869578,1042512320,0,0,0,0,0,0,178288,30.0200572,,,,,,,
99,udp64b,encap,0,1,540993.4304,0,16112061,16229817,0,0,2159016174,1038708288,0,0,0,0,0,0,117756,30.02518702,,,,,,,
100,udp64b,encap,0,1,540993.4304,0,16176391,16229817,0,0,2167636394,1038708288,0,0,0,0,0,0,53426,30.02099586,,,,,,,
101,udp64b,encap,0,1,540002.5999,0,16153091,16200037,0,0,2164514194,1036802368,0,0,0,0,0,0,46946,30.01579189,,,,,,,
102,udp64b,encap,0,1,540002.5999,0,16189408,16200037,0,0,2169380672,1036802368,0,0,0,0,0,0,10629,30.02774715,,,,,,,
103,udp64b,encap,0,1,539507.1847,0,16147575,16185220,0,0,2163775050,1035854080,0,0,0,0,0,0,37645,30.02309799,,,,,,,
104,udp64b,encap,0,1,539507.1847,0,16128228,16185220,0,0,2161182552,1035854080,0,0,0,0,0,0,56992,30.02251816,,,,,,,
105,udp64b,decap,0,1,8116883.117,243513384,0,0,19971695,32630793456,0,0,1278188480,0,0,0,0,223541689,0,30.02323318,,,,,,,
106,udp64b,decap,0,1,8116883.117,243513384,0,0,20015439,32630793456,0,0,1280988096,0,0,0,0,223497945,0,30.02962399,,,,,,,
107,udp64b,decap,0,1,4058441.558,121753097,0,0,19977988,16314914998,0,0,1278591232,0,0,0,0,101775109,0,30.02775097,,,,,,,
108,udp64b,decap,0,1,4058441.558,121753097,0,0,20057348,16314914998,0,0,1283670272,0,0,0,0,101695749,0,30.01346588,,,,,,,
109,udp64b,decap,0,1,2029220.779,60876549,0,0,19929154,8157457566,0,0,1275465856,0,0,0,0,40947395,0,30.02305603,,,,,,,
110,udp64b,decap,0,1,2029220.779,60876549,0,0,19759156,8157457566,0,0,1264585984,0,0,0,0,41117393,0,30.03203917,,,,,,,
111,udp64b,decap,0,1,1014610.39,30438275,0,0,20135302,4078728850,0,0,1288659328,0,0,0,0,10302973,0,30.02647495,,,,,,,
112,udp64b,decap,0,1,1014610.39,30438275,0,0,20103172,4078728850,0,0,1286603008,0,0,0,0,10335103,0,30.02487493,,,,,,,
113,udp64b,decap,0,1,507305.1948,15219138,0,0,15219138,2039364492,0,0,974024832,0,0,0,0,0,0,30.02691913,,,,,,,
114,udp64b,decap,0,1,760957.7922,22828748,0,0,19980310,3059052232,0,0,1278739840,0,0,0,0,2848438,0,30.02409482,,,,,,,
115,udp64b,decap,0,1,760957.7922,22828748,0,0,20038109,3059052232,0,0,1282438976,0,0,0,0,2790639,0,30.02445698,,,,,,,
116,udp64b,decap,0,1,634131.4935,19023922,0,0,19023922,2549205548,0,0,1217531008,0,0,0,0,0,0,30.01953888,,,,,,,
117,udp64b,decap,0,1,697544.6429,20926285,0,0,19930567,2804122190,0,0,1275556288,0,0,0,0,995718,0,30.01074886,,,,,,,
118,udp64b,decap,0,1,697544.6429,20926285,0,0,20159925,2804122190,0,0,1290235200,0,0,0,0,766360,0,30.02063799,,,,,,,
119,udp64b,decap,0,1,665838.0682,19975141,0,0,19975141,2676668894,0,0,1278409024,0,0,0,0,0,0,30.01698112,,,,,,,
120,udp64b,decap,0,1,681691.3555,20450704,0,0,19879720,2740394336,0,0,1272302080,0,0,0,0,570984,0,30.02309084,,,,,,,
121,udp64b,decap,0,1,681691.3555,20450704,0,0,20155947,2740394336,0,0,1289980608,0,0,0,0,294757,0,30.02431107,,,,,,,
122,udp64b,decap,0,1,673764.7119,20212899,0,0,20173232,2708528466,0,0,1291086848,0,0,0,0,39667,0,30.01703501,,,,,,,
123,udp64b,decap,0,1,673764.7119,20212899,0,0,20212899,2708528466,0,0,1293625536,0,0,0,0,0,0,30.02730894,,,,,,,
124,udp64b,decap,0,1,677728.0337,20331808,0,0,20058717,2724462272,0,0,1283757888,0,0,0,0,273091,0,30.01831508,,,,,,,
125,udp64b,decap,0,1,677728.0337,20331808,0,0,20133839,2724462272,0,0,1288565696,0,0,0,0,197969,0,30.01608896,,,,,,,
126,udp64b,decap,0,1,675746.3728,20272429,0,0,20203005,2716505486,0,0,1292992320,0,0,0,0,69424,0,30.0211339,,,,,,,
127,udp64b,decap,0,1,675746.3728,20272429,0,0,20172217,2716505486,0,0,1291021888,0,0,0,0,100212,0,30.02382684,,,,,,,
128,udp64b,decap,0,1,674755.5423,20242670,0,0,19844949,2712517780,0,0,1270076736,0,0,0,0,397721,0,30.02806711,,,,,,,
129,udp64b,decap,0,1,674755.5423,20242670,0,0,19772187,2712517780,0,0,1265419968,0,0,0,0,470483,0,30.01399684,,,,,,,
130,udp64b,decap,0,1,674260.1271,20227774,0,0,20169208,2710521716,0,0,1290829312,0,0,0,0,58566,0,30.0213201,,,,,,,
131,udp64b,decap,0,1,674260.1271,20227774,0,0,19915076,2710521716,0,0,1274564864,0,0,0,0,312698,0,30.01788092,,,,,,,
